공고번호,회사명,공고제목,지역,경력,기술스택/분야
53992164,(주)팜에이스,[팜에이스][팀장급] 더마코스메틱 알엑스미 국내 BM,서울 서초구,경력 5~10년,마케팅전략 / 온라인마케팅 / 브랜드마케팅
53967686,(주)이음유앤아이,[당진][CCTV/방송/유지보수]정보통신공사 신입/경력 채용,충남 당진시,경력무관,기술지원 / 유지보수 / 기술영업
53996278,데이콘(주),DACON 해커톤 운영 매니저 모집,서울 영등포구,신입·경력,소프트웨어개발
53996118,(주)명광,LG유플러스 협력업체 (주)명광 장비팀 모집,충북 청주시 흥덕구,경력무관,통신공사 / 시공사
53998056,(주)케이바이오메디,[라이브커머스 방송 진행 매니저 모집 - 라방진행 매니저 ],서울 강서구,경력무관,쇼호스트 / 아나운서 / 소프트웨어개발
54000587,(주)퍼스트테크윈,[퍼스트테크윈] 응용프로그래머(LabVIEW) 신입 /경력 사원 채용,경기 의왕시,신입·경력,LabVIEW / 전장설계 / 전기설계 / 자동제어
54000767,(주)투비파트너즈,[제약 솔루션 기업]  개발리더(15년 이상),서울 서초구,경력15년↑,SI개발 / SaaS / AI엔지니어 / 서치펌
54001652,금호승강기(주),[A/S기사] 승강기유지관리직원모집,광주 남구,신입·경력,정비기사 / A/S기사 / 기계수리 / 시설관리
54002965,(주)온택트헬스,CS 엔지니어(Customer Support Engineer) 채용,서울 서대문구,경력2년↑,Linux / 기술상담 / 서버관리
53985579,(주)오브릭스,강의 교안 디자이너,서울 금천구,경력 2~10년,산업디자인 / 디자인 / 인터넷교육
53976452,(주)팀플백,(주)팀플백 각 사업부 리더 채용 공고-서울,서울 용산구,경력무관,PO(프로덕트오너) / 종합포털
54009018,(주)위스마트,"시스템설계, 프로그램설계 계약직 채용(경력무관)",서울 강서구,경력무관,시스템설계 / 프로그램설계 / 솔루션업체 / 소프트웨어개발
53983136,HR컨설팅(주),반도체소자 제조사 데이터사이언티스트,충남 천안시 서북구,경력3년↑,데이터시각화 / 데이터 사이언티스트 / 반도체
53986507,(주)새론바스,쇼핑몰 상세페이지 디자인 쇼핑몰 관리 웹디자이너 신입 모집,경기 남양주시,신입,쇼핑몰 / 배너디자인 / 웹디자인 / 상세페이지 / 썸네일
54000745,(주)투비파트너즈,[제약 솔루션 기업] Business Development (PMS 수주영업/2-5년),서울 서초구,경력 2~5년,SI영업 / 기업영업 / 제약/바이오
54001148,(주)삼성피엘,KT 휴대폰개통 전산사무 경력/신입사원 채용,경기 안양시 동안구,경력무관,IT·통신기기판매
53996242,(주)명광,LGU+ 협력업체 (주)명광 지장팀 절체 공무 채용(경력무관),충북 청주시 흥덕구,경력무관,Excel / 시공사
54002857,(주)오피스톡,(주)오피스톡 사무기기 서비스 전문인력 경력 채용 공고,인천 남동구,경력 5~20년,정비기사 / A/S기사 / 기계수리 / 렌탈 / 하드웨어
53999861,(주)삼성피엘,AI 활용 그로스 마케팅 총괄 관리자급 채용,경기 안양시 동안구,경력,온라인마케팅 / 브랜드마케팅 / 콘텐츠마케팅
54000667,(주)이니노스,[이니노스] 스마트시티 조성사업 운영 담당 기간제 근로자 채용,서울 영등포구,경력 1~5년,문서작성 / 전화응대 / 서류관리
54025278,(주)텔로스,[텔로스] 플랫폼개발 1팀 - 백엔드 개발자 경력직(3년 이상),전북 전주시 완산구,경력 3~20년,MySQL / Java / RDBMS
54000341,(주)유리아,[경력직] 콘텐츠 디자이너 채용 (3년 이상 / 뷰티 브랜드),경기 용인시 기흥구,경력 3~10년,콘텐츠기획 / 전자상거래 / 쇼핑몰
54009055,그린팜스글로벌(주),그린팜스글로벌(주) 스마트팜 시공 설계·사업기획 보조 담당자 채용해요,경기 포천시,경력무관,현장관리자 / R&D기획 / AI(인공지능)
54027170,고려IT직업전문학교,네트워크 보안 정보기술개발 교강사 채용 -과목별 강의 가능,경기 수원시 팔달구,경력무관,훈련교사 / 직업전문학교
54002807,(주)투비파트너즈,"[초성장] 콘텐츠 구독 플랫폼 COO (7년 이상, 임원급)",서울 서초구,경력 7~15년,데이터분석 / 마케팅전략 / 영업전략
54003042,(주)투비파트너즈,"[K팝 엔터테인먼트] 재무 회계 시니어 (7~12년, 연결 필수)",서울 서초구,경력 7~12년,재무 / 재무회계 / 회계사
54011135,글나무(주),[번역회사 글나무] 전문 프리랜서 번역사 모집(네덜란드어-한),서울 종로구,경력무관,통/번역 / 컨텐츠제공
54029508,(주)넥스트그리드,(주)넥스트그리드 [연구본부 엔지니어] 채용,경기 화성시 동탄구,경력3년↑,H/W / SMT / PCB설계
54030394,하이버스(주),[하이버스(주)] 임베디드 솔루션 영업 담당자 채용,서울 구로구,경력1년↑,소프트웨어개발
54023862,(주)퍼블릭에이아이,[퍼블릭에이아이] 인프라 엔지니어 채용 (세종 근무 가능자),서울 서초구,경력무관,Pytorch / 소프트웨어개발
54033978,HR컨설팅(주),패션잡화커머스기업 마케팅팀장 8년이상 16년,서울 마포구,경력 8~16년,디지털마케팅 / 퍼포먼스마케팅 / CRM마케팅 / 전자상거래
54011183,글나무(주),[번역회사 글나무] 전문 프리랜서 번역사 모집(이탈리아어-한),서울 종로구,경력무관,통/번역 / 컨텐츠제공
54013857,(주)티윈,"[상현역,마곡역] LG 협력사 백엔드 개발자 채용",경기 용인시 수지구,경력3년↑,JSP / Node.js / React-Native
54021432,HR컨설팅(주),패션잡화 중국생산관리 2년에서 8년,서울 마포구,경력 2~8년,전자상거래 / 쇼핑몰
54036659,HR컨설팅(주),외국계 통신기업 MVNO MNO 모바일영업팀 과장급,서울 중구,경력 8~12년,시스템영업 / 네트워크영업 / 통신기기판매
54012848,(주)혁신아이씨티,정보통신공사 현장직 및 공무직 채용,서울 강남구,경력무관,통신기기판매 / 정산관리 / 전기설비
54037119,주피터랩스(주),[주피터랩스] 서비스 마케팅 담당자 채용,서울 강남구,경력 5~15년,마케팅전략 / 온라인마케팅 / 모바일마케팅
54037121,주피터랩스(주),[주피터랩스] 영업 및 파트너십 담당자 채용,서울 강남구,경력 5~15년,영업기획 / B2B / 사업제휴
54013714,(주)케어닥,[케어닥/VL르웨스트 복지영구사업소] 직영점 시설장,서울 강서구,경력1년↑,시설관리 / 모바일APP
54037685,(주)글로씨,하이글로씨에서 퍼포먼스 마케터 채용합니다.,경기 부천시 소사구,경력3년↑,퍼포먼스마케팅 / 전자상거래 / 쇼핑몰 / B2B / B2C
54015596,(주)투비파트너즈,[반도체 검사장비] SW엔지니어 채용(과-차장급),경기 화성시 동탄구,경력 8~15년,S/W / MFC / VisualBasic
54025604,HR컨설팅(주),삼성그룹)AI.AX 컨설턴트 채용안내,서울 송파구,경력 5~20년,솔루션업체 / 소프트웨어개발
54023227,(주)제이에스이앤씨,(주)제이에스이앤씨 GPR탐사 신입 및 경력 사무직 모집,경기 안양시 동안구,경력무관,GIS / CAD / 토목기술자
54023916,(주)오케이홈네트웍스,"웹디자이너,이커머스 운영,콘텐츠 제작 및 마케터 채용",경기 시흥시,경력무관,웹디자인 / 쇼핑몰
54028575,씨아이커머스(주),물류·포장자재 영업전문가(박스테이프/운송장)를 찾고있습니다.,인천 서구,경력1년↑,영업MD / 영업마케팅 / 온라인영업 / 유통영업
54024733,(주)투비파트너즈,[국내 1위 대용량 충전인프라 기업] 커넥티드 서비스개발(PM),경기 남양주시,경력 5~13년,풀스택 / 전기공사
54046833,캠핑톡(주),[캠핑전문플랫폼 캠핑톡] CS 상담사 정규직 채용,서울 성동구,신입·경력,상담원 / CS / 민원상담
54024727,(주)투비파트너즈,[국내 1위 대용량 충전인프라 기업]   AI S/W 기획/솔루션,경기 남양주시,경력5년↑,AI(인공지능) / 백엔드/서버개발 / S/W
54035519,(주)아이티앱스,R&D 기획·사업계획서 경력자를 찾고 있어요,광주 북구,경력 1~20년,경영기획 / 신사업기획 / 소프트웨어개발
54030319,하이버스(주),[하이버스(주)] 임베디드 솔루션 영업 신규사업 영업팀장 채용,서울 구로구,경력7년↑,소프트웨어개발
54030592,(주)좁은길,[채용공고] 키오스크 풀스택 개발자 채용,경기 안산시 상록구,경력2년↑,기계
54037686,(주)글로씨,글로씨에서 카페 마케터를  모십니다(네이버 카페 운영 및 관리),경기 부천시 소사구,경력무관,마케팅 / 마케팅전략 / 온라인마케팅
54028561,(주)제로식품,[제로식품] amd 정규직 채용,경기 안양시 동안구,경력 1~3년,온라인MD / AMD / 쇼핑몰 / 오픈마켓
54035004,(주)투비파트너즈,수지개발팀 개발 PM,충북 음성군,경력 4~15년,헤드헌팅
54035031,(주)정원에스에프에이,기술영업 / FSE 모집,서울 구로구,신입·경력,기술영업 / 전자제어 / H/W
54029203,(주)코리아와이드랩,"C# 프로그램 개발자 모집합니다.(ERP 개발, 유지보수)",대구 서구,경력2년↑,ERP개발 / 응용소프르웨어 / ERP
54029226,HR컨설팅(주),삼성그룹) ERP. MDM(기준정보) 컨설턴트 채용안내,서울 송파구,경력5년↑,ERP / SAP / 솔루션업체 / 소프트웨어개발
54037123,주피터랩스(주),[주피터랩스] CS 및 운영 담당자 채용,서울 강남구,경력 3~10년,영업기획 / B2B / 사업제휴
54033981,HR컨설팅(주),유명중견교육그룹 DevOps 엔지니어 3년이상,서울 강남구,경력 3~10년,AWS / DevOps / Azure
54033990,HR컨설팅(주),중견상장교육그룹 프론트엔드 5년이상10년까지,서울 성동구,경력 5~10년,기계
54035090,HR컨설팅(주),[중견기업] 펌웨어 개발 (전장회로개발팀),경기 과천시,경력무관,기구설계 / 가전제품
54037052,(주)투비파트너즈,[업계1위 핀테크]  사내변호사 (3년 이상),서울 강남구,경력 5~10년,변호사 / 사내변호사 / 인터넷금융
54036556,(주)투비파트너즈,"[초고속성장] 콘텐츠 구독 플랫폼 PO (5년-15년, 팀장급 이상)",서울 서초구,경력 5~12년,PL(프로젝트리더) / 컨설턴트 / 기획
54058024,(주)투비파트너즈,[중견 제조] PC 제어,경기 성남시 중원구,경력3년↑,MFC / OpenCV / 헤드헌팅
54043133,케이유융합소프트웨어연구센터(주),유명 속옷 e-commerce CS 담당자,서울 영등포구,경력무관,상담원 / CS / 게시판관리
54047562,(주)엘루다코리아,"[엘루다코리아] LED디스플레이 설치,유지보수 엔지니어 채용",경기 안양시 동안구,경력무관,기술엔지니어 / 기술지원 / 유지보수
