공고번호,회사명,공고제목,지역,경력,기술스택/분야
53888990,소크라에이아이,[Socra AI] DevOps Engineer (2년 이상),미지정,2 ~ 20년,Amazon EKS / AWS Cloud Development K<span>it</span> / AWS CloudFormation / AWS CloudHSM / Istio / Java / Kubernetes / Python
54062452,베스텔라랩,백엔드·인프라 풀스택 엔지니어,미지정,2 ~ 10년,Angular 2 / G<span>it</span> / React / Spring Boot / Vue.js / REST API / AWS / NoSql / SQL / Network
54059852,제네시스네스트,프론트엔드 개발자 [경력 1~8년],미지정,1 ~ 8년,CSS 3 / HTML5 / JavaScript / React / TypeScript
53901748,골프존,시스템엔지니어 운영 담당자,미지정,3 ~ 10년,PowerShell / Python / Shell
54076483,네비웍스,웹 어플리케이션 개발자,미지정,1 ~ 10년,ES6 / Java / JavaScript / React / TypeScript / MSA
53865373,피닉슨컨트롤스,연구개발본부 SW1팀 경력사원 채용,미지정,1 ~ 7년,C / C# / C++ / MSSQL / MySQL / Orcad / HW / FW / SW / PCB
53897761,싸이버로지텍,<span>IT</span>솔루션 <span>IT</span>O업무(개발),미지정,3 ~ 10년,HTML5 / Java / JavaScript / Oracle / Spring Boot / XML
54059865,제네시스네스트,Flutter 앱 개발자 [경력 1~8년],미지정,1 ~ 8년,Flutter / Java / Kotlin / Objective-C / Swift / Xcode
54059841,제네시스네스트,Java 백엔드 개발자 [경력 3~8년],미지정,3 ~ 8년,Java / Linux / MySQL / Oracle / PostgreSQL / Spring / Spring Framework / REST API / Solid<span>it</span>y / Blockchain
53892629,오투플러스,프론트엔드 개발자,미지정,3 ~ 10년,AngularJS / G<span>it</span> / React / Vue.js / vuex / REST API
53999968,의식주컴퍼니(런드리고),런드리고 백엔드 개발자,미지정,5 ~ 10년,Java / Kafka / React / Redis / Spring Boot / Spring Data JPA / AWS / Mybatis / NoSql / Network
53864118,필라넷,Azure Infra Engineer,미지정,3 ~ 20년,Azure Application Insights / Azure DevOps / Azure Kubernetes Service / Kubernetes / Microsoft SharePoint / Python / Terraform / AZURE / ARM / Azure Mon<span>it</span>or
53892618,오투플러스,Back-end 개발자,미지정,3 ~ 10년,Elasticsearch / Laravel / MySQL / PHP / Rabb<span>it</span>MQ / RDB
54047251,이너버스,통합보안관리 엔지니어(신입),미지정,신입,Docker / Elasticsearch / Kafka / Linux / Python / vmware / SW / Shell
53886962,위드네트웍스,방화벽 보안 엔지니어 모집(신입),미지정,신입,Network / FortiGate NGFW
54014033,(주)티시스 아이티,인프라보안,미지정,4 ~ 10년,Network / IPS / ESET Endpoint Secur<span>it</span>y
53865995,디지털포토,클라우드 엔지니어 (3년~5년),미지정,3 ~ 5년,Apache HTTP Server / CentOS / Linux / NGINX / Oracle / Network
53966450,샐러드랩,이커머스 솔루션 데이터 엔지니어,미지정,3 ~ 8년,Amazon Kinesis / Docker / G<span>it</span> / Kafka / Python / AWS / SQL
54060043,코보시스,Flutter 개발자 (바로더 POS/테이블오더/QR오더),미지정,2 ~ 6년,Dart / Flutter / Socket.IO / REST API / WebSocket / Retrof<span>it</span>
54055811,연합인포맥스,<span>IT</span>/AI부문(전문연구요원포함)경력(1~3),미지정,1 ~ 3년,Azure DevOps / Python / AWS / GCP / AZURE
54013658,엘케이에프파트너스,백엔드 유지보수 및 신규개발 경력,미지정,3 ~ 10년,Flutter / NestJS / PostgreSQL / React Native / Slack / TypeScript / AWS / AI/인공지능 / SQL / Notion
53988403,드림디엔엠,인천 IDC운영 신입 채용,미지정,신입,Network
53862514,웅진,클라우드 솔루션 아키텍트 (AWS) 모집,미지정,5 ~ 20년,AWS
53991378,오픈엣지테크놀로지,[NPU] Firmware Engineer,미지정,2 ~ 15년,C / C++ / Python / PyTorch
54111841,클로봇,<span>IT</span> 인프라 관리,미지정,1 ~ 15년,Linux / Windows / Network / Infra
53905018,베스텔라랩,시스템 운용/유지보수,미지정,3 ~ 15년,Linux / VPN / Router / Ccna / Ccnp
53932587,캐치잇플레이,[AI 학습플랫폼] Product Manager (재택근무 가능),미지정,5 ~ 20년,Figma / AI/인공지능 / SQL
53899360,에치에프알,[경력] 이동통신 시스템 S/W 개발 채용,미지정,3 ~ 15년,C / C++ / Linux / ARM / Embedded Linux
54120740,인젠트,EDM 솔루션 기반 프로젝트 수행 개발,미지정,5 ~ 20년,G<span>it</span>Lab / Java / JavaScript / Jenkins / MSSQL / Oracle / PostgreSQL / Spring / Spring Boot / JSP
53957603,디어유,DBA (경력 5년이상),미지정,5 ~ 10년,MySQL / AWS / NoSql
53956091,아이제라,AI 에이전트 엔지니어 (5년차~),미지정,5 ~ 10년,Keras / Python / PyTorch / TypeScript / AI/인공지능 / FastAPI
53887121,포밸류소프트,[금융권 프로젝트] 중급 개발자 채용,미지정,3 ~ 15년,Java / AI/인공지능
54028283,인젠트,연계솔루션 기술지원 (경력직) 채용,미지정,3 ~ 20년,Java / JavaScript
54025532,이너버스,백엔드 개발자,미지정,5 ~ 10년,Docker / Elasticsearch / Gradle / Java / Linux / Python / scik<span>it</span>-learn / TensorFlow / QA / Golang
53970462,(주)티시스 아이티,네트워크,미지정,5 ~ 15년,Neo4j / VPN
54086458,혁산정보시스템,JAVA 기반 백엔드 개발자,미지정,10 ~ 15년,Apache Tomcat / C# / Java / JavaScript / MSSQL / MySQL / Oracle / React / JSON
54061856,이비즈테크,클라우드 엔지니어 신입 모집,미지정,신입,Azure DevOps / Linux / Windows / AWS / AZURE / OpenStack
54026150,파이오링크,코스닥 CI 개발자 모집,미지정,2 ~ 10년,C / Jenkins / Linux / Python
53990690,포씨게이트,병원 Kiosk 시스템 개발 및 운영,미지정,2 ~ 7년,C# / MSSQL / MySQL / Oracle / Windows / SW
53932779,엔쓰리엔,[DC파트] 인프라 엔지니어 시스템 운영자,미지정,3 ~ 10년,Kubernetes / Linux / Python / vmware / K8S
53984098,브레디스헬스케어,제주센터 운영·<span>IT</span> 매니저,미지정,1 ~ 10년,Google Sheets / Linux / Windows / QA / SQL
54118135,코닉글로리,개발매니저(PM),미지정,3 ~ 10년,Java / JavaScript / React / Spring / JSP / SQL / IPS
53887101,포밸류소프트,[금융권 프로젝트] 분석/설계/개발 개발자 채용,미지정,7 ~ 15년,Java / Python / AI/인공지능
53921199,소크라에이아이,[Socra AI] MLOps Engineer (전문연구요원 가능),미지정,2 ~ 19년,G<span>it</span> / Kubernetes / PyTorch / TensorFlow / Airflow / Databricks
53989346,드림디엔엠,네트워크 인프라 운영 신입 채용,미지정,신입,Network / Infra
53932503,캐치잇플레이,[AI 학습플랫폼] 데이터 엔지니어/Mid-Senior(재택근무 가능),미지정,3 ~ 20년,Apache Flink / Docker / Kubernetes / Python / Terraform / AWS / Spark / SQL / GCP / Airflow
54077587,디어유,정보보호 팀장 (10년 이상),미지정,10 ~ 15년,AWS / ISMS
54073359,이노아이,글로벌 광고 비즈니스 플랫폼 테스트엔지니어,미지정,2 ~ 7년,Android OS / Confluence / iOS / Jira / Postman / Redmine / Slack / REST API / QA
54025520,이너버스,프론트엔드 개발자,미지정,5 ~ 10년,Docker / Elasticsearch / Java / Linux / Python / QA / Golang
54089782,쥬비스다이어트,<span>IT</span> 서비스기획 PM 경력직 채용,미지정,7 ~ 10년,Confluence / Figma / Jira / AI/인공지능 / ERP / SAP / Notion
53866032,디지털포토,클라우드 엔지니어 (6년~8년),미지정,6 ~ 8년,Apache HTTP Server / CentOS / Linux / NGINX / Oracle / Network
53988310,알라딘커뮤니케이션,정보보호팀 팀원,미지정,5 ~ 10년,AWS Cloud Development K<span>it</span> / Azure DevOps / Linux / Python / AWS / GCP / ISMS / CISSP / CISA / Cr<span>it</span>tercism
53921217,위드네트웍스,보안솔루션 엔지니어,미지정,1 ~ 5년,Python / REST API
53981889,로이드케이,AI 소프트웨어 풀스택 개발자,미지정,3 ~ 20년,Kubernetes / AWS / AZURE / NLP
54047914,송암시스콤,SW 개발자 (경력) 채용,미지정,5 ~ 15년,Java / jQuery / Spring Boot / JSP
54076539,네비웍스,Unreal 클라이언트 개발자(경력),미지정,3 ~ 10년,C++ / Docker / JavaScript / Linux / Python / Windows / OpenCV / AWS / GCP / Network
53886282,파이오링크,ADC(L4-L7 스위치) 애플리케이션 개발,미지정,2 ~ 10년,C / C++ / Docker / G<span>it</span> / Linux / Python / React / L4 / L7
53991390,오픈엣지테크놀로지,[DRAM PHY] Analog Engineer,미지정,2 ~ 15년,C / Python / Verilog
54009645,펜타시큐리티,시스템 소프트웨어 개발자 (경력),미지정,3 ~ 10년,G<span>it</span> / Jenkins / Linux / Python / Slack / Shell / Mantis
53932876,(주)티시스 아이티,보안관제(CERT),미지정,9 ~ 17년,Splunk / CISSP / CISA
54046402,건솔루션,로봇개발 및 운영/AI응용 프로그램개발,미지정,2 ~ 10년,AI/인공지능
53932307,캐치잇플레이,[AI 학습플랫폼] ML 엔지니어 (재택근무 가능),미지정,5 ~ 20년,Python / PyTorch / scik<span>it</span>-learn / AWS / DeepLearning / MachineLearning / AI/인공지능 / SQL / GCP / AZURE
53991478,오픈엣지테크놀로지,[DRAM PHY] Layout Engineer,미지정,2 ~ 15년,C
53959708,싸이버로지텍,TA (Technical Arch<span>it</span>ect) - 네트워크 관리/담당자,미지정,3 ~ 20년,Linux / Windows
53921227,위드네트웍스,공공기관 프로젝트 보안 개발자,미지정,5 ~ 10년,Java / Python
53957483,델레오코리아,DevOps 시스템 관리자,미지정,6 ~ 10년,Docker / G<span>it</span> / Grafana / Java / Kubernetes / Prometheus / AWS
53904957,디에스앤지,시스템 엔지니어 경력 채용,미지정,7 ~ 15년,Docker / Docker Compose / Kubernetes / Linux / Ubuntu
53935938,링네트,Cisco 네트워크 필드 엔지니어(경력3~6),미지정,3 ~ 6년,Router / Sw<span>it</span>ch / Cisco / L2 / L3 / L4 / L7 / Network
54076507,네비웍스,윈도우 응용 프로그래머(C++),미지정,3 ~ 6년,C / C# / C++ / Linux / TCP/IP / Mfc / GUI
53886951,위드네트웍스,방화벽 보안 엔지니어 모집(경력),미지정,3 ~ 6년,Network / FortiGate NGFW
53921236,위드네트웍스,정보보호부 네트워크 보안 솔루션 엔지니어,미지정,1 ~ 5년,G<span>it</span> / Jira / Linux / Python
54091930,룰루랩,DevSecOps / 보안 엔지니어 (인프라 보안 및 인증 대응),미지정,3 ~ 10년,Azure DevOps / Linux / Python / AWS / GCP / AZURE
54080395,씨앤유글로벌,백엔드 개발자 (5년 이상),미지정,5 ~ 10년,Java / MariaDB / Oracle / Spring
53948225,어보브반도체,검증팀 엔지니어(경력),미지정,7 ~ 10년,C / C# / C++ / FPGA / MCU
54088632,엘리스그룹,정보보호 엔지니어 경력 채용,미지정,1 ~ 20년,VPN / MachineLearning / AI/인공지능 / ISMS / Network / IPS
54076552,네비웍스,SW 개발자(경력),미지정,3 ~ 10년,.NET / C / C# / C++ / Docker / Java / Linux / MSSQL / Windows / Network
53956096,아이제라,AI 서비스 PM (오산),미지정,3 ~ 10년,Python / AI/인공지능 / SW
54002184,딥오토,[정규직] Engineering Product Manager,미지정,7 ~ 10년,Docker / Hadoop / Kubernetes / Python / PyTorch / TensorFlow / OpenCV / AWS / Spark / SQL
